,HeadLine,Rating,Duration,Author,Source,Thumbnail,Description,Price,Level,Provider
0,Python for Everybody,4.8,Approx. 8 months to complete,GoogleTop Instructor,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This new beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.

Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. It?s designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completing the program, you?ll have the option to share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, you?ll need a computer where you can install Git or ask your administrator to install it for you.

If you?d like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.",450,Beginner,University of Michigan
1,Python 3 Programming,4.7,Approx. 8 months to complete,Charles Russell SeveranceTop Instructor,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/be/0ce870e9cb11e8b2d233b4be6a9cf3/pythonfluency_1x1_4.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures, networked application program interfaces, and databases, using the Python programming language. In the Capstone Project, you?ll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval, processing, and visualization.",475,Beginner,University of Michigan
2,IBM Data Science,4.6,Approx. 17 hours to complete,Jorge Mu?z Gama,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Dec? Steve Jobs que ?todo el mundo deber? aprender a programar un ordenador porque esto te ayuda a pensar?. Hoy en d? la programaci? es una herramienta fundamental para el desarrollo de la tecnolog? moderna. Este curso te introduce en el mundo de la programaci? en el lenguaje Python. De una forma pr?tica, aprender? de forma gradual desde el tratamiento b?ico de variables hasta la programaci? de algoritmos para construir tus propios juegos. Adem?, te familiarizar? con los conceptos fundamentales para el desarrollo de algoritmos y su programaci?. Al finalizar el curso, ser? capaz de desarrollar tus propios programas en Python y de seguir explorando para construir nuevos programas y cada vez m? complejos. Este curso es el primer paso para convertirte en un/a profesional con habilidades b?icas de programaci? y abrirte la puerta al futuro.",450,Beginner,IBM
3,Google IT Automation with Python,4.7,Approx. 10 months to complete,Alex Aklson,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/10/94e64625eb4b41b05e66ed0e5bab30/Xavier-MI-Thompson-119.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Data Science has been ranked as one of the hottest professions and the demand for data practitioners is booming. This Professional Certificate from IBM is intended for anyone interested in developing skills and experience to pursue a career in Data Science or Machine Learning.

This program consists of 9 courses providing you with latest job-ready skills and techniques covering a wide array of data science topics including: open source tools and libraries, methodologies, Python, databases, SQL, data visualization, data analysis, and machine learning. You will practice hands-on in the IBM Cloud using real data science tools and real-world data sets.

It is a myth that to become a data scientist you need a Ph.D. This Professional Certificate is suitable for anyone who has some computer skills and a passion for self-learning. No prior computer science or programming knowledge is necessary. We start small, re-enforce applied learning, and build up to more complex topics.

Upon successfully completing these courses you will have done several hands-on assignments and built a portfolio of data science projects to provide you with the confidence to plunge into an exciting profession in Data Science. In addition to earning a Professional Certificate from Coursera, you will also receive a digital Badge from IBM recognizing your proficiency in Data Science.",500,Beginner,Google
4,Applied Data Science with Python,4.5,Approx. 5 months to complete,Paul Resnick,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/c8/8d6df01eb311e6b5f5f786b289d8ba/pythondatascience_specialization_final.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This specialization teaches the fundamentals of programming in Python 3. We will begin at the beginning, with variables, conditionals, and loops, and get to some intermediate material like keyword parameters, list comprehensions, lambda expressions, and class inheritance.

You will have lots of opportunities to practice. You will also learn ways to reason about program execution, so that it is no longer mysterious and you are able to debug programs when they don?t work.

By the end of the specialization, you?ll be writing programs that query Internet APIs for data and extract useful information from them. And you?ll be able to learn to use new modules and APIs on your own by reading the documentation. That will give you a great launch toward being an independent Python programmer.

This specialization is a good next step for you if you have completed Python for Everybody but want a more in-depth treatment of Python fundamentals and more practice, so that you can proceed with confidence to specializations like Applied Data Science with Python.

But it is also appropriate as a first set of courses in Python if you are already familiar with some other programming language, or if you are up for the challenge of diving in head-first.",455,Intermediate,University of Michigan
5,Programming for Everybody (Getting Started with Python),4.8,Approx. 22 hours to complete,Joseph Santarcangelo,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/08/33f720502a11e59e72391aa537f5c9/pythonlearn_thumbnail_1x1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This introduction to Python will kickstart your learning of Python for data science, as well as programming in general. This beginner-friendly Python course will take you from zero to programming in Python in a matter of hours.Module 1 - Python Basics
o	Your first program
o	Types
o	Expressions and Variables
o	String Operations

Module 2 - Python Data Structures
o	Lists and Tuples
o	Sets
o	Dictionaries

Module 3 - Python?rogramming Fundamentals
o	Conditions and Branching
o	Loops
o	Functions
o	Objects and Classes

Module 4 - Working with Data in Python
o	Reading files with open
o	Writing files with open
o	Loading data with Pandas
o	Numpy 

Finally, you will create a project to test your skills.",455,Mixed,University of Michigan
6,Python for Data Science and AI,4.6,Approx. 31 hours to complete,GoogleTop Instructor,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/79/192c002fe111e88780515c581bd11f/Screen-Shot-2018-03-24-at-4.42.07-PM.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. We'll start off by diving into the basics of writing a computer program. Along the way, you?ll get hands-on experience with programming concepts through interactive exercises and real-world examples. You?ll quickly start to see how computers can perform a multitude of tasks ? you just have to write code that tells them what to do.",460,Beginner,IBM
7,Introducci? a la programaci? en Python I: Aprendiendo a programar con Python,4.4,Approx. 19 hours to complete,Charles Russell SeveranceTop Instructor,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bf/af25202b6411e7973bdddc08fd00dc/curso-python_V4.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ?Python for Everybody?.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.",450,Beginner,Pontificia Universidad Cat?ica de Chile
8,Python Basics,4.8,Approx. 36 hours to complete,Paul Resnick,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/77/17ca30e9cf11e8931fddf70eb768e1/pythonfluency_1x1_course_1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.The course is for you if you're a newcomer to Python programming, if you need a refresher on Python basics, or if you may have had some exposure to Python programming but want a more in-depth exposition and vocabulary for describing and reasoning about programs.

This is the first of five courses in the Python 3 Programming Specialization.",475,Beginner,University of Michigan
9,Crash Course on Python,4.8,Approx. 5 months to complete,Christopher Brooks,Coursera,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/fd9a9b0f404af6842d49aad8cf141a/Andrew-WA-Thompson-699-1-.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have a basic python or programming background, and want to apply statistical, machine learning, information visualization, text analysis, and social network analysis techniques through popular python toolkits such as pandas, matplotlib, scikit-learn, nltk, and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1), Applied Plotting, Charting & Data Representation in Python (course 2), and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those, courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate.",460,Beginner,Google
